,location,patron type,item type,loan rule number,active
,,1,,,
151,lc1,0-55,40,117,N
152,lc1,0-55,40,115,N
153,lc2,"14,17,18,20","40,41,42,49",37,Y
154,lc2,"13,21,22","40,41,42,49",36,Y
155,LC2,"17-18,20","40,41,49",37,Y
156,LC2,"2,9,28","40,49",38,Y
157,LC2,"16,27","40,49",58,Y
158,lc2,"0,1,8","40,49",40,Y
159,lc2,"3,5,8","40,49",40,Y
160,lc2,"12,19","40,49",40,Y
161,LC2,"0,12,19","44,49",42,Y
162,LC2,"0-3,5,8-9,12,15,19,23-24,3","46,47,49",43,Y
,,1,,,
163,LC2,"0-3,5,8-9,12,15,19,23-24,3","48,49",44,Y
,,1,,,
164,lc2,0-55,40,117,N
165,LC2,"0-3,5,8-9,12,15,19,23-24,3","42,49",45,Y
,,1,,,
166,lc2,0-55,40,115,N
167,lc3,"14,17-18,20","40,41,42,49",37,Y
168,lc3,"13,21,22","40,41,42,49",36,Y
169,LC3,"17-18,20","40,41,49",37,Y
170,LC3,"2,9","40,49",38,Y
171,LC3,"16,27","40,49",58,Y
172,lc3,"0,1,8","40,49",40,Y
173,lc3,"3,5,8","40,49",40,Y
174,lc3,"12,19","40,49",40,Y
175,LC3,"0,12,19","44,49",42,Y
176,LC3,"0-3,5,8-9,12,15,19,23-24,3","46,47,49",43,Y
,,1,,,
177,LC3,"0-3,5,8-9,12,15,19,23-24,3","48,49",44,Y
,,1,,,
178,LC3,"0-3,5,8-9,12,15,19,23-24,3","42,49",45,Y
,,1,,,
179,lc3,0-55,40,117,N
180,lc3,0-55,40,115,N
181,lc4,"14,17-18,20","40,41,42,49",37,Y
182,lc4,"13,21-22","40,41,42,49",36,Y
183,lc4,"2,9","40,49",38,Y
184,lc4,"16,27","40,49",58,Y
185,lc4,"0,1,8","40,49",40,Y
186,lc4,"3,5,8","40,49",40,Y
187,lc4,"12,19","40,49",40,Y
188,lc4,"0,12,19","44,49",42,Y
189,lc4,"0-3,5,8-9,12,15,18,31","46,47,49",43,Y
190,lc4,"0-3,5,8-9,12,15,18,31","48,49",44,Y
191,lc4,"42,49","42,49",45,Y
192,lc4,0-55,40,117,N
193,lc4,0-55,40,115,N
194,lc5,"14,17,18,20","40,41,42,49",37,Y
195,lc5,"13,21,22","40,41,42,49",36,Y
196,lc5,"2,9","40,49",38,Y
197,lc5,"16,27","40,49",58,Y
198,lc5,"0,1,8","40,49",40,Y
199,lc5,"3,5,8","40,49",40,Y
200,lc5,"12,19","40,49",40,Y
201,lc5,"0,12,19","44,49",42,Y
202,lc5,"0-3,5,8-9,12,15,18,31","46,47,49",43,Y
203,lc5,"0-3,5,8-9,12,15,18,31","48,49",44,Y
204,lc5,"0-3,5,8-9,12,15,18,30,31","42,49",45,Y
205,lc5,0-55,40,117,N
206,lc5,0-55,40,115,N
207,LCC,"13,21,22","41,49",36,Y
208,LCS,"13,21,22","42,49",36,Y
209,LM*,"13,21,22","42,49",36,Y
210,LPB,"13,21,22","41,49",36,Y
211,LPX,"13,21,22","42,49",36,Y
212,LPC,"13,21,22","46,49,50",36,Y
213,LPC,"0-3,5,8-9,12,15,18,23-24,3","46,49",43,Y
,,1,,,
214,LRA,"13,21,22","42,49",36,Y
215,LRB,"13,21,22","45,49",36,Y
216,LRB,"0-1,3,5,8-9,12,15,31","45,49",45,Y
217,LRD,16,46,58,Y
218,LRD,"13,21,22","45,46",36,Y
219,lrs,12,43,41,Y
220,lrd,"0-3,8-9,12,14-15,19,30-31",43,89,Y
221,lrs,12,65,98,Y
222,lrd,13-Dec,49,86,Y
223,lrd,"0-3,5,8-9,12,15,19,31","45,46,47",43,Y
224,lrf,"13,21-22",42,36,Y
225,LRQ,"13,21,22","45,49,50",36,Y
226,LRQ,"0-3,5,8-9,12,15,19,23,24,3","45,49",45,Y
,,0-31,,,
227,lrs,"13,21-22","47,48,49,50",36,Y
228,lrs,"0-5,8-9,12,30-31",44,42,Y
229,lrs,"0-5,8-9,12,19,30-31","46,47,49",43,Y
230,lrs,"0-5,8-9,12,15,19,30-31","48,49",44,Y
231,LOA,999,42,35,Y
232,LOC,999,42,35,Y
233,LOD,"13,21,22","40,41,42,49",36,Y
234,LOD,"3,12,19","40,49",43,Y
235,LOR,"13,21,22","41,49,50",36,Y
236,LOR,"0-3,5,8-9,12,15,19,23,24,3","47,49",43,Y
,,0-31,,,
237,LOS,"13,21,22","40,41,49",36,Y
238,llc,13,42,36,Y
239,LLC,999,"40,41,42",35,Y
240,LZA,"13,21,22",46,36,Y
241,LZA,"0-3,5,8-9,12,15,31",46,43,Y
242,LZC,"13,21,22",46,36,Y
243,LZC,"0-3,5,8-9,12,15,31",46,43,Y
244,LZD,"13,21,22",46,36,Y
245,LZD,"0-3,5,8-9,12,15,31",46,43,Y
246,LZL,"13,21,22",46,36,Y
247,LZL,"0-3,5,8-9,12,15,31",46,43,Y
248,LZV,"13,21,22",46,36,Y
249,LZV,"0-3,5,8-9,12,15,31",46,43,Y
250,CC*,10,"1,30",94,Y
251,CC*,"1,9,31","1,30",79,Y
252,CC*,"0,4,5,6,10,12,23-24",1,78,Y
253,cc*,"0-9,12-24,27,30-32",2,73,Y
254,cc*,"2-3,8,13,19,21,30","1,62",71,Y
255,CC*,0,1,117,N
256,CC*,0,1,115,N
257,ccit,"0-3,9,12-13,19-21,30-31",58,84,Y
258,CCR,0-55,0,16,Y
259,CCP,0-55,0,16,Y
260,ccscp,"1-3,8-9,30-31",1,100,Y
261,ccscp,"1-3,8-9,30,31",62,100,Y
262,CCRS,"0-21,23-24,30-31",3,14,Y
263,ccrs,"0-21,23-24,30-31",16,21,Y
264,CCRS,"1-21,23,24,30-31","1,16",95,Y
265,CCRS,"0-1,31",2,99,Y
266,ccrs*,"0-3,12-13,19,21,30,31",68,111,Y
267,RS*,"0-9,12-24,27,30-32",54,80,Y
268,RS*,0,54,81,N
269,DEC,0,0,16,N
270,hl*,"2-3,8-9,13,21,30",62,92,Y
271,hl*,"0-1,12,31",62,93,Y
272,wc*,"0-3,9,12,13,30-31",62,2,Y
273,rd*,"0-9,12-24,27,30-32",62,16,Y
274,rd*,"1,31",62,69,Y
275,rd*,"5,7",62,32,Y
276,rd*,"0,4,6,12,23-24",62,1,Y
277,rd*,"2-3,9,13,19,21,30,32",62,17,Y
278,rlcc,"2,3,9,13,19,21,30,32",62,17,Y
279,mf*,"0-9,12-24,27,30-32",0,16,Y
280,mf*,10,0,47,Y
281,rc*,14,1,37,Y
282,rmwgp,"0-3,8-9,30-32",67,102,Y
283,lbs,"0-3,8-9,12,14-15,19,30-31",43,89,Y
284,rssk*,"0-3,9,12-13,19,21,30-32",68,103,Y
285,hm*,"2-3,9,13,21,30",62,105,Y
286,va*,"0-3,8-9,30-31",67,101,Y
287,rpsb,"1,23-24,31",29,5,Y
288,?????,"230-233,235",59,106,Y
289,?????,230-233,55-58,107,Y
290,?????,"0-10,12-24,27,30-32,210,23",230,109,Y
,,"0,231,233",,,
291,?????,"0-10,12-24,27,30-32,210,23",231,108,Y
,,"0-233,235",,,
292,lcdr,"0-3,8-9,12,15,19,31","45,46,47",43,Y
293,lrd,"0-3,8-9,12,15,19,30-31","45,46,47",43,Y
294,RS*,"0-9,12,23-24,30-32",70,113,Y
295,RS*,"0-9,12,23-24,30-32",71,112,Y
296,mcg,"2-3,5,9,13,19,21,30,32","1,37,62",61,Y
297,rs*,"0-9,12,23-24,30-32",72,118,Y
298,?????,"200-201,203-205,210,212-21","1,30",116,Y
,,"7,220-223",,,
299,?????,202,"1,30",114,Y
300,?????,"0-1,4,12,23-24,31","200,209",117,Y
301,?????,"2,3,5,8-9,13,19,21,30,32","200,209",115,Y
302,om*,"0-3,9,12,13,30-31",62,2,Y
303,mfr,"1-24,27,30-31",1,16,Y
304,ft*,"0-3,8-9,30-31",67,119,Y
305,ccvf,"0,31","1,62",120,Y
